age_group,quintile,category,amount_usd,unit
Age < 30,Lowest 20%,Food & non-alcoholic drinks,47.385,weekly
Age < 30,Second 20%,Food & non-alcoholic drinks,48.735,weekly
Age < 30,Third 20%,Food & non-alcoholic drinks,71.685,weekly
Age < 30,Fourth 20%,Food & non-alcoholic drinks,75.465,weekly
Age < 30,Highest 20%,Food & non-alcoholic drinks,78.84,weekly
Age < 30,All,Food & non-alcoholic drinks,66.015,weekly
Age < 30,Lowest 20%,Clothing & footwear,7.695,weekly
Age < 30,Second 20%,Clothing & footwear,13.77,weekly
Age < 30,Third 20%,Clothing & footwear,20.79,weekly
Age < 30,Fourth 20%,Clothing & footwear,19.71,weekly
Age < 30,Highest 20%,Clothing & footwear,24.165,weekly
Age < 30,All,Clothing & footwear,17.82,weekly
Age < 30,Lowest 20%,"Housing(net)², fuel & power",183.6,weekly
Age < 30,Second 20%,"Housing(net)², fuel & power",193.995,weekly
Age < 30,Third 20%,"Housing(net)², fuel & power",231.255,weekly
Age < 30,Fourth 20%,"Housing(net)², fuel & power",213.84,weekly
Age < 30,Highest 20%,"Housing(net)², fuel & power",357.345,weekly
Age < 30,All,"Housing(net)², fuel & power",234.225,weekly
Age < 30,Lowest 20%,Household goods & services,17.82,weekly
Age < 30,Second 20%,Household goods & services,33.21,weekly
Age < 30,Third 20%,Household goods & services,29.565,weekly
Age < 30,Fourth 20%,Household goods & services,49.14,weekly
Age < 30,Highest 20%,Household goods & services,42.255,weekly
Age < 30,All,Household goods & services,35.505,weekly
Age < 30,Lowest 20%,Health,5.13,weekly
Age < 30,Second 20%,Health,5.13,weekly
Age < 30,Third 20%,Health,5.13,weekly
Age < 30,Fourth 20%,Health,5.13,weekly
Age < 30,Highest 20%,Health,5.13,weekly
Age < 30,All,Health,5.13,weekly
Age < 30,Lowest 20%,Transport,25.785,weekly
Age < 30,Second 20%,Transport,62.775,weekly
Age < 30,Third 20%,Transport,83.16,weekly
Age < 30,Fourth 20%,Transport,122.175,weekly
Age < 30,Highest 20%,Transport,145.8,weekly
Age < 30,All,Transport,90.99,weekly
Age < 30,Lowest 20%,Communication,18.225,weekly
Age < 30,Second 20%,Communication,23.895,weekly
Age < 30,Third 20%,Communication,26.46,weekly
Age < 30,Fourth 20%,Communication,31.185,weekly
Age < 30,Highest 20%,Communication,27.27,weekly
Age < 30,All,Communication,26.19,weekly
Age < 30,Lowest 20%,Recreation & culture,26.865,weekly
Age < 30,Second 20%,Recreation & culture,36.72,weekly
Age < 30,Third 20%,Recreation & culture,50.49,weekly
Age < 30,Fourth 20%,Recreation & culture,83.43,weekly
Age < 30,Highest 20%,Recreation & culture,87.615,weekly
Age < 30,All,Recreation & culture,59.13,weekly
Age < 30,Lowest 20%,Education,9.6,weekly
Age < 30,Second 20%,Education,9.6,weekly
Age < 30,Third 20%,Education,9.6,weekly
Age < 30,Fourth 20%,Education,9.6,weekly
Age < 30,Highest 20%,Education,9.6,weekly
Age < 30,All,Education,9.6,weekly
Age < 30,Lowest 20%,Restaurants & hotels,17.55,weekly
Age < 30,Second 20%,Restaurants & hotels,25.11,weekly
Age < 30,Third 20%,Restaurants & hotels,43.335,weekly
Age < 30,Fourth 20%,Restaurants & hotels,61.29,weekly
Age < 30,Highest 20%,Restaurants & hotels,108.54,weekly
Age < 30,All,Restaurants & hotels,51.57,weekly
Age < 30,Lowest 20%,Miscellaneous goods & services,16.74,weekly
Age < 30,Second 20%,Miscellaneous goods & services,37.8,weekly
Age < 30,Third 20%,Miscellaneous goods & services,47.25,weekly
Age < 30,Fourth 20%,Miscellaneous goods & services,54.54,weekly
Age < 30,Highest 20%,Miscellaneous goods & services,52.785,weekly
Age < 30,All,Miscellaneous goods & services,44.01,weekly
Age < 30,Lowest 20%,Other expenditure items,20.25,weekly
Age < 30,Second 20%,Other expenditure items,48.06,weekly
Age < 30,Third 20%,Other expenditure items,73.71,weekly
Age < 30,Fourth 20%,Other expenditure items,107.73,weekly
Age < 30,Highest 20%,Other expenditure items,147.825,weekly
Age < 30,All,Other expenditure items,82.08,weekly
Age < 30,Lowest 20%,Weekly Necessary Expenses,280.125,weekly
Age < 30,Second 20%,Weekly Necessary Expenses,334.53,weekly
Age < 30,Third 20%,Weekly Necessary Expenses,417.69,weekly
Age < 30,Fourth 20%,Weekly Necessary Expenses,447.795,weekly
Age < 30,Highest 20%,Weekly Necessary Expenses,614.385,weekly
Age < 30,All,Weekly Necessary Expenses,422.55,weekly
Age < 30,Lowest 20%,Weekly Necessary Expenses,280.125,weekly
Age < 30,Second 20%,Weekly Necessary Expenses,334.53,weekly
Age < 30,Third 20%,Weekly Necessary Expenses,417.69,weekly
Age < 30,Fourth 20%,Weekly Necessary Expenses,447.795,weekly
Age < 30,Highest 20%,Weekly Necessary Expenses,614.385,weekly
Age < 30,All,Weekly Necessary Expenses,422.55,weekly
Age < 30,Lowest 20%,Yearly Necessary Expenses,14566.5,yearly
Age < 30,Second 20%,Yearly Necessary Expenses,17395.56,yearly
Age < 30,Third 20%,Yearly Necessary Expenses,21719.88,yearly
Age < 30,Fourth 20%,Yearly Necessary Expenses,23285.34,yearly
Age < 30,Highest 20%,Yearly Necessary Expenses,31948.02,yearly
Age < 30,All,Yearly Necessary Expenses,21972.6,yearly
Age 30-49,Lowest 20%,Food & non-alcoholic drinks,61.695,weekly
Age 30-49,Second 20%,Food & non-alcoholic drinks,77.355,weekly
Age 30-49,Third 20%,Food & non-alcoholic drinks,93.555,weekly
Age 30-49,Fourth 20%,Food & non-alcoholic drinks,102.87,weekly
Age 30-49,Highest 20%,Food & non-alcoholic drinks,117.855,weekly
Age 30-49,All,Food & non-alcoholic drinks,96.795,weekly
Age 30-49,Lowest 20%,Clothing & footwear,14.85,weekly
Age 30-49,Second 20%,Clothing & footwear,22.005,weekly
Age 30-49,Third 20%,Clothing & footwear,26.19,weekly
Age 30-49,Fourth 20%,Clothing & footwear,32.67,weekly
Age 30-49,Highest 20%,Clothing & footwear,37.665,weekly
Age 30-49,All,Clothing & footwear,29.16,weekly
Age 30-49,Lowest 20%,"Housing(net)², fuel & power",140.13,weekly
Age 30-49,Second 20%,"Housing(net)², fuel & power",179.55,weekly
Age 30-49,Third 20%,"Housing(net)², fuel & power",168.345,weekly
Age 30-49,Fourth 20%,"Housing(net)², fuel & power",148.77,weekly
Age 30-49,Highest 20%,"Housing(net)², fuel & power",170.64,weekly
Age 30-49,All,"Housing(net)², fuel & power",162.945,weekly
Age 30-49,Lowest 20%,Household goods & services,22.68,weekly
Age 30-49,Second 20%,Household goods & services,32.805,weekly
Age 30-49,Third 20%,Household goods & services,37.26,weekly
Age 30-49,Fourth 20%,Household goods & services,48.465,weekly
Age 30-49,Highest 20%,Household goods & services,77.355,weekly
Age 30-49,All,Household goods & services,49.275,weekly
Age 30-49,Lowest 20%,Health,9.045,weekly
Age 30-49,Second 20%,Health,9.045,weekly
Age 30-49,Third 20%,Health,9.045,weekly
Age 30-49,Fourth 20%,Health,9.045,weekly
Age 30-49,Highest 20%,Health,9.045,weekly
Age 30-49,All,Health,9.045,weekly
Age 30-49,Lowest 20%,Transport,39.96,weekly
Age 30-49,Second 20%,Transport,68.985,weekly
Age 30-49,Third 20%,Transport,99.9,weekly
Age 30-49,Fourth 20%,Transport,130.95,weekly
Age 30-49,Highest 20%,Transport,181.035,weekly
Age 30-49,All,Transport,119.34,weekly
Age 30-49,Lowest 20%,Communication,20.52,weekly
Age 30-49,Second 20%,Communication,25.11,weekly
Age 30-49,Third 20%,Communication,31.995,weekly
Age 30-49,Fourth 20%,Communication,32.535,weekly
Age 30-49,Highest 20%,Communication,35.235,weekly
Age 30-49,All,Communication,30.78,weekly
Age 30-49,Lowest 20%,Recreation & culture,27.945,weekly
Age 30-49,Second 20%,Recreation & culture,47.79,weekly
Age 30-49,Third 20%,Recreation & culture,67.635,weekly
Age 30-49,Fourth 20%,Recreation & culture,89.235,weekly
Age 30-49,Highest 20%,Recreation & culture,151.335,weekly
Age 30-49,All,Recreation & culture,89.37,weekly
Age 30-49,Lowest 20%,Education,9.6,weekly
Age 30-49,Second 20%,Education,9.6,weekly
Age 30-49,Third 20%,Education,9.6,weekly
Age 30-49,Fourth 20%,Education,9.6,weekly
Age 30-49,Highest 20%,Education,9.6,weekly
Age 30-49,All,Education,9.6,weekly
Age 30-49,Lowest 20%,Restaurants & hotels,20.52,weekly
Age 30-49,Second 20%,Restaurants & hotels,27.945,weekly
Age 30-49,Third 20%,Restaurants & hotels,45.765,weekly
Age 30-49,Fourth 20%,Restaurants & hotels,61.02,weekly
Age 30-49,Highest 20%,Restaurants & hotels,97.2,weekly
Age 30-49,All,Restaurants & hotels,58.725,weekly
Age 30-49,Lowest 20%,Miscellaneous goods & services,23.49,weekly
Age 30-49,Second 20%,Miscellaneous goods & services,39.555,weekly
Age 30-49,Third 20%,Miscellaneous goods & services,46.845,weekly
Age 30-49,Fourth 20%,Miscellaneous goods & services,63.045,weekly
Age 30-49,Highest 20%,Miscellaneous goods & services,100.305,weekly
Age 30-49,All,Miscellaneous goods & services,62.505,weekly
Age 30-49,Lowest 20%,Other expenditure items,38.475,weekly
Age 30-49,Second 20%,Other expenditure items,63.045,weekly
Age 30-49,Third 20%,Other expenditure items,97.74,weekly
Age 30-49,Fourth 20%,Other expenditure items,138.24,weekly
Age 30-49,Highest 20%,Other expenditure items,219.51,weekly
Age 30-49,All,Other expenditure items,130.68,weekly
Age 30-49,Lowest 20%,Weekly Necessary Expenses,271.35,weekly
Age 30-49,Second 20%,Weekly Necessary Expenses,360.045,weekly
Age 30-49,Third 20%,Weekly Necessary Expenses,402.84,weekly
Age 30-49,Fourth 20%,Weekly Necessary Expenses,424.17,weekly
Age 30-49,Highest 20%,Weekly Necessary Expenses,513.81,weekly
Age 30-49,All,Weekly Necessary Expenses,418.905,weekly
Age 30-49,Lowest 20%,Weekly Necessary Expenses,271.35,weekly
Age 30-49,Second 20%,Weekly Necessary Expenses,360.045,weekly
Age 30-49,Third 20%,Weekly Necessary Expenses,402.84,weekly
Age 30-49,Fourth 20%,Weekly Necessary Expenses,424.17,weekly
Age 30-49,Highest 20%,Weekly Necessary Expenses,513.81,weekly
Age 30-49,All,Weekly Necessary Expenses,418.905,weekly
Age 30-49,Lowest 20%,Yearly Necessary Expenses,14110.2,yearly
Age 30-49,Second 20%,Yearly Necessary Expenses,18722.34,yearly
Age 30-49,Third 20%,Yearly Necessary Expenses,20947.68,yearly
Age 30-49,Fourth 20%,Yearly Necessary Expenses,22056.84,yearly
Age 30-49,Highest 20%,Yearly Necessary Expenses,26718.12,yearly
Age 30-49,All,Yearly Necessary Expenses,21783.06,yearly
Age 50-64,Lowest 20%,Food & non-alcoholic drinks,54.27,weekly
Age 50-64,Second 20%,Food & non-alcoholic drinks,76.68,weekly
Age 50-64,Third 20%,Food & non-alcoholic drinks,91.8,weekly
Age 50-64,Fourth 20%,Food & non-alcoholic drinks,105.705,weekly
Age 50-64,Highest 20%,Food & non-alcoholic drinks,133.11,weekly
Age 50-64,All,Food & non-alcoholic drinks,95.58,weekly
Age 50-64,Lowest 20%,Clothing & footwear,8.235,weekly
Age 50-64,Second 20%,Clothing & footwear,19.17,weekly
Age 50-64,Third 20%,Clothing & footwear,22.41,weekly
Age 50-64,Fourth 20%,Clothing & footwear,28.755,weekly
Age 50-64,Highest 20%,Clothing & footwear,44.55,weekly
Age 50-64,All,Clothing & footwear,26.055,weekly
Age 50-64,Lowest 20%,"Housing(net)², fuel & power",101.925,weekly
Age 50-64,Second 20%,"Housing(net)², fuel & power",122.985,weekly
Age 50-64,Third 20%,"Housing(net)², fuel & power",125.28,weekly
Age 50-64,Fourth 20%,"Housing(net)², fuel & power",132.435,weekly
Age 50-64,Highest 20%,"Housing(net)², fuel & power",141.345,weekly
Age 50-64,All,"Housing(net)², fuel & power",126.09,weekly
Age 50-64,Lowest 20%,Household goods & services,28.485,weekly
Age 50-64,Second 20%,Household goods & services,44.415,weekly
Age 50-64,Third 20%,Household goods & services,51.705,weekly
Age 50-64,Fourth 20%,Household goods & services,57.51,weekly
Age 50-64,Highest 20%,Household goods & services,81.81,weekly
Age 50-64,All,Household goods & services,54.945,weekly
Age 50-64,Lowest 20%,Health,13.095,weekly
Age 50-64,Second 20%,Health,13.095,weekly
Age 50-64,Third 20%,Health,13.095,weekly
Age 50-64,Fourth 20%,Health,13.095,weekly
Age 50-64,Highest 20%,Health,13.095,weekly
Age 50-64,All,Health,13.095,weekly
Age 50-64,Lowest 20%,Transport,49.41,weekly
Age 50-64,Second 20%,Transport,81.945,weekly
Age 50-64,Third 20%,Transport,115.83,weekly
Age 50-64,Fourth 20%,Transport,161.19,weekly
Age 50-64,Highest 20%,Transport,232.74,weekly
Age 50-64,All,Transport,136.35,weekly
Age 50-64,Lowest 20%,Communication,18.9,weekly
Age 50-64,Second 20%,Communication,25.38,weekly
Age 50-64,Third 20%,Communication,29.7,weekly
Age 50-64,Fourth 20%,Communication,36.45,weekly
Age 50-64,Highest 20%,Communication,43.065,weekly
Age 50-64,All,Communication,31.725,weekly
Age 50-64,Lowest 20%,Recreation & culture,41.715,weekly
Age 50-64,Second 20%,Recreation & culture,64.395,weekly
Age 50-64,Third 20%,Recreation & culture,94.095,weekly
