age_group,quintile,yearly_income_usd,posttax_income_usd,weekly_necessary_expenses_usd,yearly_necessary_expenses_usd,weekly_income_usd,disposable_income_usd,disposable_income_posttax_ratio
Age < 30,Lowest 20%,19094.4,18669.15,280.125,14566.5,367.2,4102.65,0.2197555861
Age < 30,Second 20%,38188.8,33944.4,334.53,17395.56,734.4,16548.84,0.4875278396
Age < 30,Third 20%,59670.0,51129.9,417.69,21719.88,1147.5,29410.02,0.5752019855
Age < 30,Fourth 20%,88241.4,69911.1,447.795,23285.34,1696.95,46625.76,0.6669292859
Age < 30,Highest 20%,167848.2,110339.55,614.385,31948.02,3227.85,78391.53,0.7104572205
Age < 30,All,,,422.55,21972.6,,,
Age 30-49,Lowest 20%,19094.4,18669.15,271.35,14110.2,367.2,4558.95,0.2441969774
Age 30-49,Second 20%,38188.8,33944.4,360.045,18722.34,734.4,15222.06,0.44844098
Age 30-49,Third 20%,59670.0,51129.9,402.84,20947.68,1147.5,30182.22,0.5903046945
Age 30-49,Fourth 20%,88241.4,69911.1,424.17,22056.84,1696.95,47854.26,0.6845016027
Age 30-49,Highest 20%,167848.2,110339.55,513.81,26718.12,3227.85,83621.43,0.7578554562
Age 30-49,All,,,418.905,21783.06,,,
Age 50-64,Lowest 20%,19094.4,18669.15,237.6,12355.2,367.2,6313.95,0.3382023284
Age 50-64,Second 20%,38188.8,33944.4,320.085,16644.42,734.4,17299.98,0.5096563793
Age 50-64,Third 20%,59670.0,51129.9,375.705,19536.66,1147.5,31593.24,0.6179014627
Age 50-64,Fourth 20%,88241.4,69911.1,448.875,23341.5,1696.95,46569.6,0.66612598
Age 50-64,Highest 20%,167848.2,110339.55,563.355,29294.46,3227.85,81045.09,0.7345062582
Age 50-64,All,,,402.84,20947.68,,,
Age 65-74,Lowest 20%,19094.4,18669.15,207.36,10782.72,367.2,7886.43,0.422431123
Age 65-74,Second 20%,38188.8,33944.4,286.2,14882.4,734.4,19062.0,0.5615653834
Age 65-74,Third 20%,59670.0,51129.9,355.32,18476.64,1147.5,32653.26,0.6386333633
Age 65-74,Fourth 20%,88241.4,69911.1,409.185,21277.62,1696.95,48633.48,0.6956474723
Age 65-74,Highest 20%,167848.2,110339.55,541.215,28143.18,3227.85,82196.37,0.7449402322
Age 65-74,All,,,316.035,16433.82,,,
Age > 74,Lowest 20%,19094.4,18669.15,183.33,9533.16,367.2,9135.99,0.489362933
Age > 74,Second 20%,38188.8,33944.4,243.945,12685.14,734.4,21259.26,0.626296532
Age > 74,Third 20%,59670.0,51129.9,299.295,15563.34,1147.5,35566.56,0.6956117653
Age > 74,Fourth 20%,88241.4,69911.1,382.455,19887.66,1696.95,50023.44,0.7155292936
Age > 74,Highest 20%,167848.2,110339.55,477.36,24822.72,3227.85,85516.83,0.7750333403
Age > 74,All,,,254.745,13246.74,,,
